timestamp,PG1,PG2,PG3,QG1,QG2,QG3,Vreal1,Vreal2,Vreal3,Vreal4,Vreal5,Vreal6,Vreal7,Vreal8,Vreal9,Vimag1,Vimag2,Vimag3,Vimag4,Vimag5,Vimag6,Vimag7,Vimag8,Vimag9
0.000000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.001000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.002000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.003000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.004000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.005000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.006000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.007000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.008000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
0.009000,0.717116,1.631630,0.850850,0.303097,0.369630,0.018082,1.045200,1.016637,1.026714,1.030157,0.998155,1.015654,1.028759,1.020897,1.036952,0.000000,0.164994,0.083176,-0.039609,-0.069099,-0.065042,0.066395,0.012876,0.035334
