timestamp,PG1,PG2,PG3,QG1,QG2,QG3,Vreal1,Vreal2,Vreal3,Vreal4,Vreal5,Vreal6,Vreal7,Vreal8,Vreal9,Vimag1,Vimag2,Vimag3,Vimag4,Vimag5,Vimag6,Vimag7,Vimag8,Vimag9
0.000000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.001000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.002000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.003000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.004000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.005000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.006000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.007000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.008000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.009000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.010000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.011000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.012000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.013000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.014000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
0.015000,0.7157,1.6297,0.8497,0.3028,0.3695,0.0178,1.0400,1.0116,1.0216,1.0251,0.9933,1.0106,1.0237,1.0159,1.0318,0.0000,0.1653,0.0834,-0.0396,-0.0691,-0.0650,0.0666,0.0130,0.0355
