timestamp,PG1,PG2,PG3,QG1,QG2,QG3,Vmag1,Vmag2,Vmag3,Vmag4,Vmag5,Vmag6,Vmag7,Vmag8,Vmag9,Vangle1,Vangle2,Vangle3,Vangle4,Vangle5,Vangle6,Vangle7,Vangle8,Vangle9
0.0000,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0010,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0020,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0030,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0040,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0050,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0060,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0070,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0080,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0090,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0100,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0110,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0120,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0130,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0140,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0150,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0160,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0170,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0180,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0190,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0200,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0210,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0220,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
0.0230,0.7164,1.6300,0.8500,0.3034,0.3700,0.0181,1.0400,1.0250,1.0250,1.0258,0.9956,1.0127,1.0258,1.0159,1.0324,0.0000,0.1620,0.0814,-0.0387,-0.0696,-0.0644,0.0649,0.0127,0.0343
